PdsEventNew(muon_time=125, michel_time=192, muon_intensity=4.89134, michel_intensity=2.11457, third_intensity=0.635399, posX=59.9291, posY=424.091, posZ=354.071, energy=44.1606, lifetime=1.16919, pdg=-11, eventID=13825, trackID=15, date=20250828, reco_lifetime=1072, true_lifetime=1169.19, diff_lifetime=-97.19000000000005, michel_rise=0.0845828, michel_drop=0.132534375)
Event 43: PdsEventNew(muon_time=126, michel_time=450, muon_intensity=9.08707, michel_intensity=1.46327, third_intensity=0.777471, posX=100.017, posY=387.377, posZ=428.163, energy=49.6717, lifetime=5.18231, pdg=-11, eventID=12481, trackID=16, date=20250828, reco_lifetime=5184, true_lifetime=5182.31, diff_lifetime=1.6899999999995998, michel_rise=0.1130357894736842, michel_drop=0.08607470588235294)
Event 44: PdsEventNew(muon_time=128, michel_time=261, muon_intensity=170.197, michel_intensity=26.4927, third_intensity=1.79202, posX=277.802, posY=254.837, posZ=229.954, energy=50.4651, lifetime=2.13728, pdg=-11, eventID=12513, trackID=16, date=20250828, reco_lifetime=2128, true_lifetime=2137.28, diff_lifetime=-9.2800000000002, michel_rise=0.9461678571428571, michel_drop=1.5576473684210528)
Event 45: PdsEventNew(muon_time=128, michel_time=166, muon_intensity=24.7589, michel_intensity=6.88675, third_intensity=0.816372, posX=137.814, posY=252.541, posZ=311.265, energy=45.3005, lifetime=0.669331, pdg=-11, eventID=12544, trackID=5, date=20250828, reco_lifetime=608, true_lifetime=669.331, diff_lifetime=-61.33100000000002, michel_rise=0.38259722222222226, michel_drop=0.431363125)
Event 46: PdsEventNew(muon_time=123, michel_time=282, muon_intensity=3.13045, michel_intensity=1.27455, third_intensity=0.360349, posX=15.6251, posY=235.756, posZ=290.504, energy=48.5307, lifetime=2.52562, pdg=-11, eventID=12603, trackID=4, date=20250828, reco_lifetime=2544, true_lifetime=2525.62, diff_lifetime=18.38000000000011, michel_rise=0.07759941176470589, michel_drop=0.0637275)
Event 47: PdsEventNew(muon_time=128, michel_time=539, muon_intensity=20.7718, michel_intensity=3.5428, third_intensity=0.847584, posX=139.405, posY=278.388, posZ=345.78, energy=35.7842, lifetime=6.61322, pdg=-11, eventID=12634, trackID=9, date=20250828, reco_lifetime=6576, true_lifetime=6613.22, diff_lifetime=-37.220000000000255, michel_rise=0.2273442105263158, michel_drop=0.23618666666666668)
Event 48: PdsEventNew(muon_time=126, michel_time=213, muon_intensity=15.5109, michel_intensity=2.14702, third_intensity=1.12605, posX=-110.453, posY=292.881, posZ=296.621, energy=38.7725, lifetime=1.38237, pdg=-11, eventID=12641, trackID=15, date=20250828, reco_lifetime=1392, true_lifetime=1382.3700000000001, diff_lifetime=9.629999999999882, michel_rise=0.14313466666666666, michel_drop=0.16324)
Event 49: PdsEventNew(muon_time=128, michel_time=396, muon_intensity=40.7973, michel_intensity=10.531, third_intensity=1.23096, posX=-282.488, posY=410.097, posZ=246.034, energy=42.4794, lifetime=4.32114, pdg=-11, eventID=12651, trackID=3, date=20250828, reco_lifetime=4288, true_lifetime=4321.139999999999, diff_lifetime=-33.13999999999942, michel_rise=0.6623666666666667, michel_drop=0.30973529411764705)
Event 50: PdsEventNew(muon_time=125, michel_time=222, muon_intensity=7.45051, michel_intensity=1.67781, third_intensity=0.645751, posX=30.2772, posY=49.3117, posZ=122.163, energy=46.741, lifetime=1.56543, pdg=-11, eventID=12757, trackID=9, date=20250828, reco_lifetime=1552, true_lifetime=1565.43, diff_lifetime=-13.430000000000064, michel_rise=0.104863125, michel_drop=0.0672078125)
Event 51: PdsEventNew(muon_time=126, michel_time=217, muon_intensity=6.38081, michel_intensity=1.9697, third_intensity=1.00923, posX=73.0049, posY=409.719, posZ=322.384, energy=39.7294, lifetime=1.49489, pdg=-11, eventID=1277, trackID=13, date=20250828, reco_lifetime=1456, true_lifetime=1494.89, diff_lifetime=-38.8900000000001, michel_rise=0.10342772727272727, michel_drop=0.078788)
Event 52: PdsEventNew(muon_time=128, michel_time=225, muon_intensity=151.301, michel_intensity=38.0454, third_intensity=2.30018, posX=308.297, posY=111.795, posZ=104.859, energy=37.5389, lifetime=1.59367, pdg=-11, eventID=12789, trackID=18, date=20250828, reco_lifetime=1552, true_lifetime=1593.6699999999998, diff_lifetime=-41.669999999999845, michel_rise=2.3778375, michel_drop=1.09426)
