#events with |diff| <= 500:  2223 / 3411 (65.17%)

#events with |diff| > 500 :  1188 / 3411 (34.83%)
Event 71: PdsEventNew(muon_time=125, michel_time=165, muon_intensity=3.84148, michel_intensity=1.08818, posX=28.6646, posY=395.388, posZ=130.506, energy=52.2302, lifetime=5.33049, pdg=-11, eventID=14037, trackID=16, date=20250828, reco_lifetime=640, true_lifetime=5330.49, diff_lifetime=-4690.49)




Event 72: PdsEventNew(muon_time=129, michel_time=190, muon_intensity=89.3971, michel_intensity=1.13988, posX=-243.118, posY=113.858, posZ=277.16, energy=-1.0, lifetime=-1.0, pdg=0, eventID=14077, trackID=0, date=20250828, reco_lifetime=976, true_lifetime=-1000.0, diff_lifetime=1976.0)


Event 73: PdsEventNew(muon_time=128, michel_time=262, muon_intensity=132.646, michel_intensity=21.8973, posX=-160.217, posY=308.689, posZ=320.373, energy=28.9867, lifetime=0.138395, pdg=11, eventID=14091, trackID=6, date=20250828, reco_lifetime=2144, true_lifetime=138.39499999999998, diff_lifetime=2005.605)


Event 74: PdsEventNew(muon_time=126, michel_time=213, muon_intensity=19.3181, michel_intensity=1.37731, posX=67.4594, posY=80.7914, posZ=127.158, energy=43.8177, lifetime=0.0674956, pdg=11, eventID=14119, trackID=8, date=20250828, reco_lifetime=1392, true_lifetime=67.4956, diff_lifetime=1324.5044)


Event 75: PdsEventNew(muon_time=123, michel_time=490, muon_intensity=5.06865, michel_intensity=2.58743, posX=17.3587, posY=282.211, posZ=43.8542, energy=42.4696, lifetime=0.839868, pdg=-11, eventID=14139, trackID=9, date=20250828, reco_lifetime=5872, true_lifetime=839.8679999999999, diff_lifetime=5032.132)



Event 76: PdsEventNew(muon_time=128, michel_time=342, muon_intensity=250.426, michel_intensity=2.26092, posX=164.697, posY=238.587, posZ=158.84, energy=-1.0, lifetime=-1.0, pdg=0, eventID=14178, trackID=0, date=20250828, reco_lifetime=3424, true_lifetime=-1000.0, diff_lifetime=4424.0)

