Run Event TrackID VertexX VertexY VertexZ
28891 137060 1 107.954 592.886 233.513
28891 338775 6 7.92537 593.249 421.662
28891 338799 1 30.8795 410.121 7.7013
28891 338823 14 -21.3041 342.581 442.058
28891 338903 2 40.6917 595.746 120.249
28891 338919 11 92.0754 595.871 399.135
28891 338935 6 -3.25387 592.1 136.992
28891 339015 10 89.4678 594.084 326.901
28891 265680 14 52.5998 591.735 272.337
28891 265704 2 54.9816 607.707 14.8361
28891 177722 20 22.513 602.893 86.8974
28891 177778 5 31.5415 590.753 343.456
28891 247840 0 -88.9664 491.79 7.98073
28891 247896 4 56.9782 590.967 354.997
28891 72181 3 46.541 587.233 5.97745
28891 72269 4 77.8363 590.773 242.964
28891 72285 6 151.216 599.341 286.162
28891 150115 2 17.1312 585.398 448.183
28891 150251 4 30.8287 592.791 161.659
28891 192707 9 230.444 577.273 443.149
28891 192827 7 4.08405 578.43 284.806
28891 192843 0 244.844 607.561 112.166
28891 192907 3 181.626 602.055 229.143
28891 192923 21 37.7751 449.761 290.092
28891 192923 22 -26.8659 431.612 151.71
28891 316039 8 64.9562 588.193 243.457
28891 316071 5 45.1161 593.619 345.023
28891 316143 18 -4.93011 589.219 394.091
28891 279747 7 -101.579 456.68 362.652
28891 367301 5 -238.025 603.017 222.589
28891 367333 4 99.3922 471.961 4.69369
28891 367357 3 11.2213 559.8 446.579
28891 367357 14 34.0811 588.857 353.275
28891 367365 9 -141.492 548.125 152.153
28891 367429 9 86.9941 596.269 230.654
28891 97517 13 94.1636 593.804 432.698
28891 97573 3 -323.661 603.777 239.758
28891 97621 1 165.078 598.012 257.474
28891 39311 12 48.5543 248.818 451.067
28891 163052 7 37.9768 595.087 116.572
28891 163092 17 48.3664 360.588 199.603
28891 163164 15 101.746 559.992 1.81174
28891 111389 9 48.7762 597.324 64.7449
28891 111565 4 -151.557 595.412 97.057
28891 41709 43 25.4991 489.711 213.194
28891 41797 7 -131.883 595.281 257.853
28891 41821 9 -49.3639 589.013 300.731
28891 41845 11 -29.2424 587.303 294.736
28891 41877 9 28.688 590.376 343.079
28891 251663 25 7.71709 443.659 240.227
28891 251695 5 -39.6856 464.371 426.445
28891 48885 3 169.992 601.299 307.502
28891 49005 10 30.1216 233.769 443.621
28891 49021 6 -103.626 585.605 231.885
28891 49029 6 45.7442 596.604 102.71
28891 371289 0 -205.782 480.596 456.461
28891 371417 1 -13.1202 585.754 360.567
28891 371489 5 -140.538 599.842 147.129
28891 101695 5 80.4896 594.484 111.309
28891 101711 25 13.7948 589.183 276.571
28891 101719 4 155.083 543.907 456.973
28891 101783 12 66.7635 586.056 398.694
28891 224231 1 191.02 602.735 59.5182
28891 224247 12 128.65 598.792 197.657
28891 224335 4 129.276 595.32 302.999
28891 340039 9 148.499 602.361 47.1886
28891 340087 7 -163.226 602.676 85.6015
28891 340239 29 -25.9359 373.69 365.829
28891 319943 3 6.42932 594.882 455.509
28891 319967 9 -73.5271 550.483 449.015
28891 319983 6 109.155 599.685 227.26
