Run Event TrackID EndX EndY EndZ
28891 127902 2 74.4785 207.618 168.639
28891 127910 7 -32.795 266.084 419.464
28891 127942 0 -210.093 75.5891 319.151
28891 127950 10 -84.9238 355.411 374.824
28891 127950 20 -14.8343 507.364 298.614
28891 253230 21 -11.6543 426.851 195.756
28891 216795 4 -325.752 373.822 245.516
28891 216987 28 8.87177 167.115 48.5193
28891 318951 10 -68.0194 205.741 233.616
28891 319023 2 28.933 137.595 370.726
28891 319023 16 -23.4684 214.627 352.639
28891 319023 22 -16.4406 490.545 351.911
28891 319087 3 -252.031 43.2566 328.833
28891 319135 17 -38.9058 201.998 31.6215
28891 319143 11 35.2638 345.871 225.979
28891 239445 6 -57.8295 90.2329 248.866
28891 239549 10 -43.4156 393.763 353.845
28891 19369 6 -45.8022 137.702 266.944
28891 19513 3 -185.328 264.339 376.318
28891 19513 17 41.0501 117.175 286.573
28891 19537 12 -26.5748 387.915 331.302
28891 285499 1 -24.7786 135.021 375.291
28891 285595 2 -243.819 276.87 255.027
28891 285675 14 -71.2362 348.332 383.498
28891 111003 1 -187.15 301.279 433.739
28891 111011 7 63.3134 187.841 32.985
28891 111035 15 -76.7874 254.483 98.5443
28891 111099 3 -142.698 329.763 385.131
28891 258959 10 -87.1821 237.986 35.2147
28891 239969 15 -12.945 312.422 387.386
28891 240049 16 62.9546 316.536 162.878
28891 171900 28 -19.7552 268.315 367.696
28891 221778 29 26.9927 478.5 333.075
28891 221802 2 65.5216 243.536 402.578
28891 221826 19 18.83 290.222 368.313
28891 221858 4 -139.836 168.338 428.44
28891 221874 7 -6.68722 213.887 395.537
28891 221898 1 43.1967 96.4296 398.336
28891 221906 23 -29.735 441.083 269.21
28891 221930 9 -156.44 262.293 285.826
28891 280710 0 -233.119 290.339 231.96
28891 280838 24 0.230704 361.687 42.6477
28891 280878 28 15.5106 510.229 121.48
28891 280966 13 -47.0932 492.082 318.527
28891 293171 20 -54.5509 323.717 280.932
28891 293179 22 36.2914 173.201 84.7766
28891 293315 23 -34.9733 308.349 282.407
28891 288289 1 -10.9131 69.4615 288.525
28891 288385 11 -168.049 153.688 376.096
28891 159081 13 2.70507 367.863 185.913
28891 135020 9 -70.6822 250.947 297.248
28891 135132 10 84.3456 143.403 100.048
28891 70645 15 -69.4251 159.244 91.9113
28891 144382 5 22.0303 265.38 394.142
28891 144454 7 34.5144 152.023 379.232
28891 144486 3 -51.4624 148.696 205.863
28891 327439 5 -50.5335 148.834 260.041
28891 216758 12 -25.2072 134.446 264.183
28891 216814 38 -16.5346 529.172 352.592
28891 216830 12 -49.4219 144.023 127.245
28891 216854 4 35.683 325.973 164.484
28891 216862 7 45.1736 96.1537 433.247
28891 216886 5 -63.1601 88.8821 251.809
28891 216918 0 350.86 154.926 147.621
28891 216950 5 -29.1262 64.1098 83.3772
28891 216958 18 -61.8109 447.998 394.671
28891 216990 6 169.609 93.2867 312.574
28891 3548 3 -199.716 349.108 424.434
28891 3572 3 -219.14 402.795 386.043
28891 3628 3 159.749 54.3377 282.407
28891 3652 4 -86.9541 76.8855 365.756
28891 3676 4 -162.604 88.9027 287.929
28891 3692 25 -4.91146 409.758 160.066
28891 193216 4 152.53 88.0417 126.205
28891 193240 23 12.7602 245.933 320.818
28891 193320 6 -33.3224 128.244 388.378
28891 26822 8 -71.7213 185.102 192.375
28891 26902 5 -175.092 45.5812 142.113
28891 27030 12 -20.1827 43.2801 337.067
28891 126850 2 -91.9396 49.0314 183.938
28891 126962 18 37.389 283.415 215.189
28891 44963 1 -250.414 89.0972 305.949
28891 44979 13 25.4458 334.258 343.756
28891 45091 8 -46.8125 131.822 223.379
28891 45099 19 -92.0044 468.459 336.144
28891 45115 3 -55.6107 149.85 368.511
28891 45115 22 -33.7032 90.9921 369.494
28891 97997 47 -6.87613 544.322 281.498
28891 98021 8 67.148 168.385 285.253
28891 98061 4 -29.0238 73.9702 274.606
28891 98165 10 -6.88266 149.513 348.634
28891 119321 10 -36.9019 88.0162 321.664
28891 91806 25 -52.2467 441.762 412.504
28891 91846 3 -127.526 96.3132 292.623
28891 91846 9 -105.428 529.384 287.726
28891 91862 10 36.6467 354.001 286.556
28891 194279 25 30.3159 178.571 84.6849
28891 336135 14 -48.0392 431.81 352.052
28891 336143 17 -5.52261 407.518 407.907
28891 336167 7 -82.3056 121.124 291.511
28891 336271 30 -6.63347 541.026 366.936
28891 71687 16 -110.821 340.282 296.559
28891 71839 0 247.725 84.9704 422.903
28891 71911 14 -15.0747 324.596 167.234
28891 288359 9 -152.849 299.954 307.256
28891 167484 6 -36.6309 216.215 278.336
28891 25768 1 -99.1587 39.4453 324.884
